50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,dribble_no_touch,foul_committed_offensive,goalkeeper_shot_saved_to_post,pass_cut_back,pass_inswinging,shot_deflected,shot_saved_to_post,bad_behaviour_card,clearance_other,pass_no_touch,ball_recovery_offensive,goalkeeper_punched_out,pass_straight,shot_redirect,goalkeeper_shot_saved_off_target,shot_saved_off_target,match_date,season,competition,home_team,away_team,home_score,away_score
,,,,,,,,,,,,,,,,,,0.169453,,,,,,,,,,,,,,85338d32-c114-48c6-a749-b39157b0d199,837,,,"[111.6, 16.9]",3890260,25,,,,,1.94013,,Left Foot,,,"[110.4, 20.0]",,Ground Pass,3.3241541,,Incomplete,,Kevin Kuranyi,19836.0,,,,,,1,From Goal Kick,Steven Zuber,5548.0,Center Attacking Midfield,48,Hoffenheim,175,"['58537b96-0de3-4b5b-9c88-c2416900de07', '637b72b4-54a1-4318-a363-16663e885b6a', 'ae0c6d13-9fa3-4365-8611-46c02cb69df0']",1,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:25:01.007,Pass,True,,,,,,,,,,,,,,,,,2015-08-15,2015/2016,Germany - 1. Bundesliga,Bayer Leverkusen,Hoffenheim,2,1
,,,,,,,,,,,,,,,,,,0.413865,,,,,,,,,,,,,,336acc2b-3972-493d-888f-ce118a7a455e,840,,,"[120.0, 0.1]",3890260,25,,True,,,2.2766082,,Right Foot,,,"[112.5, 8.9]",,Ground Pass,11.562439,,,,Steven Zuber,5548.0,,,,,Corner,1,From Corner,Jonathan Schmid,8311.0,Right Center Midfield,49,Hoffenheim,175,['731d9d57-dded-446b-b202-32ddba06b840'],26,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:25:26.401,Pass,,,,,,,,,,,,,,,,,,2015-08-15,2015/2016,Germany - 1. Bundesliga,Bayer Leverkusen,Hoffenheim,2,1
,,,,,,,,,,,,,,,,,,0.923023,,,,,,,,,,,,,,3cc0d61b-58ba-4216-a9aa-0b1112d24d5b,842,,,"[111.8, 12.5]",3890260,25,,True,,,-1.9573027,,Right Foot,,,"[108.3, 3.9]",,Ground Pass,9.284934,,,,Jonathan Schmid,8311.0,,,,,,1,From Corner,Steven Zuber,5548.0,Center Attacking Midfield,49,Hoffenheim,175,['8b4383d9-b7ce-42f1-ac8f-1a1ef9696cc8'],27,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:25:27.086,Pass,,,,,,,,,,,,,,,,,,2015-08-15,2015/2016,Germany - 1. Bundesliga,Bayer Leverkusen,Hoffenheim,2,1
,,,,,,,,,,,,,,,,,,1.604863,,,,,,,,,,,,,,855e5931-ce9e-4b66-8880-81b5ac766a43,848,,,"[110.6, 0.1]",3890260,25,,,,,1.5253731,,,True,,"[112.1, 33.1]",,High Pass,33.034073,,Incomplete,,Kevin Kuranyi,19836.0,,,,,Throw-in,1,From Throw In,Jin-Su Kim,40538.0,Left Back,50,Hoffenheim,175,"['05fa9830-9df0-4709-9cf8-daf96447b876', '9fa3e322-0073-476b-ad5b-71091243979b']",53,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:25:53.359,Pass,,,,,,,,,,,,,,,,,,2015-08-15,2015/2016,Germany - 1. Bundesliga,Bayer Leverkusen,Hoffenheim,2,1
,,,,,,,,,,,,,,,,,,2.789815,,,,,,,,,,,,,,3c7d6f38-f6e8-4276-a078-79140865be8e,851,,,"[21.5, 52.3]",3890260,25,,,,,0.11604075,,Head,,,"[37.8, 54.2]",,High Pass,16.410362,,,,Stefan Kießling,11394.0,,,,,Recovery,1,Regular Play,Hakan Çalhanoğlu,7039.0,Center Attacking Midfield,51,Bayer Leverkusen,904,['cee3001d-c8e8-4af3-90f2-f8816c3057c5'],56,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:25:56.246,Pass,,,,,,,,,,,,,,,,,,2015-08-15,2015/2016,Germany - 1. Bundesliga,Bayer Leverkusen,Hoffenheim,2,1
,,,,,,,,,,,,,,,,,,0.008969,,,,,,,,,,,,,,583f8ee5-f0b1-4368-b125-6db5459bcf08,855,,,"[49.6, 60.5]",3890260,26,,,,,1.0584068,,Right Foot,,,"[52.3, 65.3]",,Low Pass,5.507268,,Incomplete,,Karim Bellarabi,8213.0,,,,,,1,Regular Play,Stefan Kießling,11394.0,Center Forward,51,Bayer Leverkusen,904,"['4fdf818c-83c6-4bec-9acf-3690128c3581', '51710dce-9a72-4557-9328-0dfe50a3888d']",1,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:26:01.001,Pass,,,,,,,,,,,,,,,,,,2015-08-15,2015/2016,Germany - 1. Bundesliga,Bayer Leverkusen,Hoffenheim,2,1
,,,,,,,,,,,,,,,,,,0.980678,,,,,,,,,,,,,,e93a55a2-0452-47b6-9e0e-fe3ea2c2ec26,858,,,"[53.9, 30.7]",3890260,26,,,,,-0.40975794,,Right Foot,,,"[73.7, 22.1]",,High Pass,21.587032,,Incomplete,,Kevin Kuranyi,19836.0,,,,,Recovery,1,Regular Play,Fabian Lukas Schär,5537.0,Right Center Back,51,Bayer Leverkusen,904,"['20dee84e-6be4-40ad-aff6-3fb0ca515f3b', '607a45f3-a5c4-4dda-a82e-7647a26602fa']",3,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:26:03.623,Pass,,,,,,,,,,,,,,,,,,2015-08-15,2015/2016,Germany - 1. Bundesliga,Bayer Leverkusen,Hoffenheim,2,1
,,,,,,,,,,,,,,,,,,3.126059,,,,,,,,,,,,,,20dee84e-6be4-40ad-aff6-3fb0ca515f3b,860,,,"[46.4, 58.0]",3890260,26,,,,,-0.3366748,,Right Foot,,,"[84.4, 44.7]",,High Pass,40.260277,,Incomplete,,Heung-Min Son,3083.0,,,,,Recovery,1,Regular Play,Lars Bender,8969.0,Right Defensive Midfield,51,Bayer Leverkusen,904,"['16ff7ac6-da6a-44dc-9dde-e2f750ad01dc', '9ba4253b-e0c1-47ae-a804-e42ee67db922', 'e93a55a2-0452-47b6-9e0e-fe3ea2c2ec26']",4,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:26:04.604,Pass,,,,,,,,,,,,,,,,,,2015-08-15,2015/2016,Germany - 1. Bundesliga,Bayer Leverkusen,Hoffenheim,2,1
,,,,,,,,,,,,,,,,,,1.14644,,,,,,,,,,,,,,16ff7ac6-da6a-44dc-9dde-e2f750ad01dc,862,,,"[35.7, 35.4]",3890260,26,,,,,-0.020615635,,Head,,,"[45.4, 35.2]",,High Pass,9.702062,,Incomplete,,Kevin Volland,8215.0,,,,,Recovery,1,Regular Play,Fabian Lukas Schär,5537.0,Right Center Back,51,Bayer Leverkusen,904,"['20dee84e-6be4-40ad-aff6-3fb0ca515f3b', 'a4067c17-3951-4b6a-aac5-b575366e8822', 'fa2147be-e895-4642-95f4-db8968996f9f']",7,,,,,,,,,,,,,,,,,,Hoffenheim,175,00:26:07.730,Pass,,,,,,,,,,,,,,,,,,2015-08-15,2015/2016,Germany - 1. Bundesliga,Bayer Leverkusen,Hoffenheim,2,1
,,,,,,,,,,,,,,,,,,1.202524,,,,,,,,,,,,,,a4067c17-3951-4b6a-aac5-b575366e8822,865,,,"[74.7, 44.9]",3890260,26,,,,True,-0.4771148,,,,,"[86.5, 38.8]",,Low Pass,13.283448,,Incomplete,,Heung-Min Son,3083.0,,,,,Recovery,1,Regular Play,Hakan Çalhanoğlu,7039.0,Center Attacking Midfield,51,Bayer Leverkusen,904,"['16ff7ac6-da6a-44dc-9dde-e2f750ad01dc', '92f5c5c8-e752-45af-9a6b-6ddd84d9126b', 'c9dec407-f2a1-46b3-8331-b80f1315513b', 'ef734497-57fd-42be-a2f2-dd07ed1da39f']",8,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:26:08.876,Pass,True,,,,,,,,,,,,,,,,,2015-08-15,2015/2016,Germany - 1. Bundesliga,Bayer Leverkusen,Hoffenheim,2,1
